"","species1","species2","species3","species4","species5","species6"
"val34",70001.0049713863,0.101112699305281,135.346594110587,133.926611920681,133.62892390351,136.799734764001
"val35",69999.3233373511,0.749353023064306,133.662494385349,136.110566602583,134.060567090948,135.778803695748
"val36",69999.8866247137,0.47760632291058,134.102596795319,135.17736054512,135.452016118238,135.713800566838
"val37",70000.1066934352,3.00553846826387,134.62697195896,136.417668030176,137.227547432121,134.345731174008
"val38",69999.5444171966,0.808664770058971,135.13411982482,134.903273484421,134.808619143989,137.934285859166
"val39",70000.0546910382,1.48096916980381,135.697057197215,133.87571363005,134.334637829717,135.737404575365
"val40",70000.0354486746,2.07706700820273,134.045970344186,134.79895055049,133.896980283561,133.191871619866
"val41",70001.0379763979,1.15468735442228,135.395987706733,135.675310711178,135.027776216211,135.524428728574
"val42",70000.9790804208,2.23330553245664,135.751098392711,134.552051157518,135.10382474799,135.481510735193
"val43",70000.2231939758,0.962393537429314,133.712061055224,133.808971681082,134.177671699409,134.626541719478
"val44",69999.5951243184,1.18986639652971,134.814130453955,133.99716006399,135.226773060403,135.027418496716
"val45",70001.1672741069,1.33200832340606,135.507456695187,133.534753033022,134.8409288216,133.103462332771
"val46",70000.025715565,0.963614270409074,134.232802631685,135.347169496848,134.476972561881,134.934525432555
