"","species1","species2","species3","species4","species5","species6"
"alp37",147.819960351051,135.295377408901,136.425410187799,135.939748277944,134.649484915852,134.284780828277
"alp38",148.6590068079,134.950261045301,136.159262576949,134.646256813806,135.511300835432,136.260940125707
"alp39",149.705706141236,136.503919877014,134.21071799764,135.298178831404,133.880473211025,135.459437576443
"alp40",149.534102459594,134.244392963248,134.267832042893,134.826544659692,133.974374745785,135.900261921416
"alp41",151.449496265287,134.00409675905,133.267430454261,135.48636913306,135.53021932685,134.626858115366
"alp42",148.931357276325,134.832348295302,137.239426743391,133.659373116161,135.28249312338,132.303775669548
"alp43",149.144635366262,135.065478422787,137.632478367072,136.263863655512,134.507374179263,134.641772097206
"alp44",149.719376998043,134.205813219618,136.816761205741,133.347347056936,136.343931418807,135.881534969456
"alp45",149.005659923704,133.820758438844,134.121795366819,133.240550497355,133.873389534558,135.156973693719
"alp46",149.031485682128,135.22089260372,134.373443783206,136.115423541784,135.77471904614,135.497917991155
"sub1",134.302012060928,152.217158122346,135.157048814871,136.648343154593,134.175460948129,134.906083632284
"sub2",133.715146144276,148.212566024222,135.152172118421,136.026931215361,134.668969918392,135.353011870131
"sub3",135.989959013743,148.835558862998,135.733546884697,135.103238935764,134.400359443835,133.675595471476
"sub4",135.111775833327,149.783605811958,134.105626493687,133.868014208469,135.259027943087,133.929461348498
"sub5",135.11420767136,150.65999097734,136.001915175023,134.190473294637,134.425118044702,135.674302199693
"sub6",136.698196523781,149.765443417802,133.915713678982,135.351874690948,133.912340164852,135.49854578823
"sub7",135.047845619454,150.179102854956,135.323716780801,134.688243276865,134.124161615554,135.436069230016
"sub8",135.654862409887,149.09935668952,134.652297447057,135.102575623186,136.444019218839,134.846940332342
"sub9",136.365283669485,149.157833401517,134.803710411717,136.555359921193,132.966068545539,135.977997888821
"sub10",135.402572962424,150.582750159053,135.023374817162,132.960684484153,133.625443038792,133.607725570628
"sub11",134.059633870432,150.417716461604,134.282226582549,132.380496030668,133.870732215317,132.647144075331
"sub12",136.084963894209,151.274029300045,137.34888491602,134.452792552202,133.7372150072,135.382722712943
"sub13",134.249843066935,149.429137484247,134.683248689604,133.967206996623,135.833825469391,136.282983517552
"sub14",134.578307230042,151.590932692607,135.594854066325,135.951232068521,134.098877568892,132.56938595903
"sub15",134.176824065501,150.329605103579,133.947189512264,136.364548858185,134.984186510664,137.042688630976
"sub16",135.412700336249,150.789437568306,136.356651913129,137.241459074957,134.84969925288,134.364040549579
"sub17",135.613297580463,150.645857317935,135.566086393686,135.406467367026,134.587617055382,136.300586077338
"sub18",134.546060809338,149.811466608422,136.458274135789,136.443845059721,133.534110964273,133.992919002884
"sub19",134.333771644893,150.560698701635,133.635181973428,134.959548111851,136.274790137532,134.258842487513
"sub20",135.31654652515,149.102851310508,134.127602116108,135.120514626828,135.820445609111,135.306999693536
"sub21",134.999113493655,148.272053608758,133.273236502367,134.668235696377,134.810291402914,134.49269450134
"sub22",133.005319890353,148.9385426513,136.61018408684,134.497665376867,135.956420929457,135.809825267685
"sub23",136.208749708486,149.004779885935,136.236285352194,133.561420757226,136.311234936845,136.279112093314
"sub24",134.523393247688,149.121928323796,134.959278282123,133.389039718937,134.136552427074,133.934445864991
"sub25",135.554691808913,148.106341956763,135.295398631528,133.521239534176,134.843995754516,134.839688640134
"sub26",134.652924401513,150.326125681152,135.075618133372,134.19897254542,133.810787099279,134.096849248709
"sub27",134.468645040225,148.952975668646,136.467564747547,134.194031285101,134.630243080792,136.266550596475
"sub28",134.985701398704,150.12650352741,135.110494128791,133.823407757277,133.076372474795,134.395943694753
"sub29",133.801036381052,149.896774988604,133.54126139106,135.596693557268,134.939111700041,135.172245783035
"sub30",135.231611603796,150.090926319984,134.491787573942,133.480100407101,135.566230353847,135.756568619298
"sub31",133.697390062,148.988181458455,135.983545645448,134.806093733568,135.96086163332,134.994364724197
"sub32",133.625911092905,147.912415315065,135.284150179691,135.739673240821,133.830734587788,135.59348879751
"sub33",137.231765253765,148.814237161789,135.380142996965,135.239976307795,135.020123766115,137.077699436855
"sub34",134.501427312708,149.608360495645,134.894245815563,134.360592891943,136.793470193069,134.03744753468
"sub35",136.714613923051,150.005159129934,135.237637672219,135.093067423965,133.414271339312,136.138601259099
"sub36",136.019330990454,149.90350165632,136.063473898471,134.557954316922,135.036060196832,134.836278521185
"sub37",135.432223140051,150.620072293584,134.345985961719,135.443004843408,134.248753296124,136.825927869291
"sub38",135.100719985181,150.153755842969,134.757085022938,134.331047873126,137.233255257374,135.052459597116
"sub39",132.504899406584,151.156070660306,134.748494633691,135.879738269843,133.346990092753,133.880732040879
"sub40",137.001464504195,149.660487900065,133.537594235414,136.468831037717,136.150943850113,133.390400328419
"sub41",135.166534033799,150.910129792757,135.964706235025,133.635829931668,135.728983671101,134.431399960949
"sub42",133.732053306434,149.162252673746,135.740655590471,136.570293863171,135.899974497412,134.620152008676
"sub43",135.227632493563,148.696285660276,134.402260130677,133.902226150323,134.481162185642,134.457239504372
"sub44",134.978601514845,149.733607243878,135.45153732465,133.902595833697,135.290606388301,133.655635732511
"sub45",134.636329767583,148.63381438477,136.782430041859,134.17679162486,133.664034195434,135.206870945609
"sub46",135.115668097036,149.461237092334,135.288839907279,135.492291625405,135.443797593955,134.238214731026
"val1",134.090401192902,134.042436459181,149.849043115456,133.753626940506,135.541944008875,136.696856791151
"val2",134.509028955716,134.436456485419,150.977179457335,135.801453653273,135.193391048213,136.180146380746
"val3",134.737379561981,134.96151857606,150.272886183942,133.583896404968,134.013927523596,134.683673355839
"val4",135.95821583972,135.354031073561,147.3246152503,134.901970178523,134.553088879497,134.97430451969
"val5",133.339269007678,135.0033027811,149.085099691896,136.219881266932,134.858977217405,133.617834778796
"val6",135.344376154612,134.644618284091,150.631681177855,134.625690147747,135.093869155316,134.649838982238
"val7",133.776070770418,134.010515218693,148.126965491103,134.609861650409,133.77734436245,136.226459800568
"val8",136.282490020224,134.450673488364,150.164916641458,134.268285160056,134.919050487524,135.651754417062
"val9",134.160581382595,135.636157030261,151.93508544089,136.640724299955,134.534987640201,135.700610745963
"val10",135.580094857089,135.716311682277,149.52586043297,136.951329748282,137.149268905348,134.71122618697
"val11",136.605535666083,135.057473090072,151.207212286342,134.319714569706,134.150078181768,134.471093522945
"val12",136.656007670959,134.61924157455,148.88666760838,135.552317342366,136.294035088379,136.478248762983
"val13",135.849381154853,135.065859438376,150.173533227138,134.185110296247,133.493884434461,133.679866215942
"val14",134.659653417464,135.73299613799,149.072701283205,134.662317517342,135.791090437294,135.19811462409
"val15",136.317391793983,134.742651432448,149.109049509511,134.20026107831,136.052502510706,135.956347119897
"val16",134.518984129186,134.767711201096,151.094885387737,135.303966397839,134.925560973557,136.100240570915
"val17",135.365965094468,134.573289649835,151.396854223612,133.478000080474,135.449627572233,135.671916558655
"val18",134.851648559672,134.482404313754,151.380598280458,137.316988587271,133.681893560307,136.064949011172
"val19",134.308809879064,135.023230046783,151.201053368322,135.71325505111,135.441418408902,134.854220911913
"val20",134.508554059044,133.9727599563,151.166177397411,135.498647658718,135.658496172812,136.137266862642
"val21",134.896584138822,133.086288110824,148.904862423042,134.17320888233,136.050189917484,135.028014516927
"val22",134.586747698017,132.33187879666,150.120744265362,134.28045752631,135.771902799503,136.460937064208
"val23",136.689754832613,133.820680912126,148.236612713777,135.231978275696,134.646025610577,136.533276905059
"val24",134.745597710906,135.916018103626,150.121684450183,134.414484051269,133.115091135452,135.980556010644
"val25",135.727286049374,133.297314155433,149.624669567594,134.363568880685,134.418858084406,134.700337435871
"val26",135.504884060805,134.594739368263,150.497051614745,134.732899113812,134.696427143959,134.865411473209
"val27",135.345449102901,135.03829401515,149.286624142606,135.046001062662,136.163331352788,136.107952487484
"val28",135.311814518866,134.98515676492,149.713138253907,136.585489582012,134.36944044066,135.746693011339
"val29",135.509022541608,136.197363591899,149.354687998745,135.155514785419,135.600181117362,134.731213892625
"val30",134.810622846395,135.399970761868,149.882160680549,134.687148016623,134.830678706513,135.670664890112
"val31",136.555960671909,135.309465737733,150.76241410471,136.193219897745,135.623832441999,135.062959883
"val32",136.528898930033,133.671084463071,149.466540653626,135.932882671826,134.958368603844,135.059069542641
"val33",134.020960298264,135.180440442208,150.044191960382,136.276594609628,134.56547300318,135.288502776665
"val34",136.004971386289,134.101112699305,150.346594110587,133.926611920681,133.62892390351,136.799734764001
"val35",134.323337351088,134.749353023064,148.662494385349,136.110566602583,134.060567090948,135.778803695748
"val36",134.886624713737,134.477606322911,149.102596795319,135.17736054512,135.452016118238,135.713800566838
"val37",135.106693435249,137.005538468264,149.62697195896,136.417668030176,137.227547432121,134.345731174008
"val38",134.544417196596,134.808664770059,150.13411982482,134.903273484421,134.808619143989,137.934285859166
"val39",135.054691038199,135.480969169804,150.697057197215,133.87571363005,134.334637829717,135.737404575365
"val40",135.035448674573,136.077067008203,149.045970344186,134.79895055049,133.896980283561,133.191871619866
"val41",136.037976397926,135.154687354422,150.395987706733,135.675310711178,135.027776216211,135.524428728574
"val42",135.979080420759,136.233305532457,150.751098392711,134.552051157518,135.10382474799,135.481510735193
"val43",135.223193975832,134.962393537429,148.712061055224,133.808971681082,134.177671699409,134.626541719478
"val44",134.595124318409,135.18986639653,149.814130453955,133.99716006399,135.226773060403,135.027418496716
"val45",136.167274106888,135.332008323406,150.507456695187,133.534753033022,134.8409288216,133.103462332771
"val46",135.025715565048,134.963614270409,149.232802631685,135.347169496848,134.476972561881,134.934525432555
