"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30"
"sub4",0.501117758333271,0.497836058119579,0.491056264936874,0.488680142084695,0.502590279430866,0.489294613484976,0.508107553610856,0.496543993218785,0.511293933649842,0.495759073391484,0.916265751990132,0.885240521982407,0.907143482332056,0.912905439451479,0.893151003693193,0.906969660765992,0.901073726461085,0.896498538491108,0.912324977085244,0.894385006937309,0.491472273943065,0.492813362854171,0.496829348142452,0.506425841446134,0.510079382450258,0.51383136533941,0.517575263604807,0.511882212202606,0.486106123735495,0.494104348733504
"sub5",0.501142076713604,0.506599909773403,0.510019151750232,0.491904732946366,0.494251180447016,0.506743021996931,0.484075104323169,0.508829740306083,0.510806651334854,0.503508406958417,0.915356374260419,0.896594768257215,0.896718389305711,0.91614755398097,0.900842042549064,0.899228986190724,0.898997730782356,0.901520890524648,0.910777037203043,0.899251657669942,0.480324479502921,0.492111747196399,0.494194585247044,0.518297269636737,0.516178345228425,0.499702344313495,0.501595253210086,0.49557439318364,0.495972372092755,0.499563812357616
"sub6",0.516981965237813,0.497654434178019,0.489157136789824,0.50351874690948,0.489123401648517,0.504985457882299,0.487447428360156,0.503350077691347,0.495363381331371,0.480812341838386,0.897402559738091,0.885559457144359,0.887962683977988,0.890795871483733,0.903334720273507,0.904489413139245,0.917791167760016,0.90149967722847,0.914880642258333,0.899494745497157,0.494793135451062,0.500106810714324,0.49435378787735,0.500528802377722,0.495945938967206,0.476866598138476,0.482421280068146,0.499429964943245,0.511552695232427,0.502796635182686
"sub7",0.500478456194536,0.501791028549555,0.503237167808014,0.496882432768647,0.491241616155536,0.50436069230016,0.486278672011552,0.491103175921861,0.485075783348137,0.506991803654475,0.911315244370867,0.903318067775084,0.904325702072931,0.893069722005173,0.902160333337919,0.880275570792431,0.873091650513964,0.892801446601431,0.885328981576336,0.894073938050104,0.503484706136364,0.492987414732722,0.502563756021674,0.503287548648619,0.521664049609384,0.498593350616813,0.515826010748263,0.511551568907722,0.510741996034016,0.506997772595052
"val1",0.890904011929019,0.890424364591811,0.898490431154557,0.887536269405059,0.905419440088749,0.916968567911514,0.894147792628377,0.898003272356354,0.890795113949211,0.903158544085081,0.472349508287213,0.48190901751477,0.507373646890283,0.503540708517451,0.50904993499485,0.494509785573642,0.482394554913751,0.503882313250483,0.50552217981277,0.500753335124426,0.900698574645965,0.897936135230954,0.909080556673628,0.884891823915626,0.899804109251212,0.91839777226355,0.918652063691394,0.870085278922186,0.896400739587037,0.906899368956397
"val2",0.895090289557163,0.894364564854192,0.909771794573352,0.908014536532726,0.901933910482128,0.911801463807457,0.896785031986728,0.913882863255869,0.921217643755091,0.878133552234681,0.496921404902822,0.504860953638993,0.507406716301338,0.503373725674627,0.49562951494532,0.496192991665111,0.473803639954194,0.502331507975584,0.501067949498834,0.503549114893413,0.915819883144818,0.88011236278204,0.898835729780445,0.882932246034592,0.890035223302188,0.902612052793827,0.891117971136861,0.914870345275712,0.902014877786439,0.904946130170602
"val3",0.897373795619805,0.899615185760604,0.902728861839423,0.885838964049676,0.890139275235959,0.896836733558387,0.916637659710788,0.921355942625223,0.891312897943352,0.896692613606312,0.491543414057047,0.504557387294276,0.511076862403447,0.484421499857931,0.514189893267707,0.491667549994568,0.497591140573048,0.497463468493595,0.498607583989089,0.496688818346224,0.887735472389753,0.903821776257127,0.898094956943787,0.883836280231195,0.911964399172759,0.89390093312403,0.90096075401445,0.900708201505268,0.88786532071535,0.915963901277835
"val4",0.909582158397199,0.903540310735607,0.873246152502997,0.899019701785225,0.895530888794969,0.8997430451969,0.91137110062845,0.900605706706338,0.886917954687342,0.880998194042194,0.508188037128131,0.505892761181178,0.491312513559809,0.477599719919382,0.48170213763421,0.489331668183344,0.504273943502916,0.508095154071685,0.494311568587474,0.47244871193496,0.888750842637249,0.895057061400595,0.909957673830416,0.90026882639514,0.886769102235958,0.902770414201873,0.901305105022121,0.895372309488262,0.90286261855864,0.903861970587026
"val5",0.883392690076783,0.900033027810996,0.890850996918958,0.912198812669321,0.898589772174048,0.88617834778796,0.886749531007769,0.912082049575076,0.90744821046027,0.89630890770954,0.506155925250072,0.501873221611441,0.507235302497595,0.499325920577889,0.498221277611828,0.491655849806381,0.503067824103645,0.517336198415809,0.499272574274484,0.50969061372937,0.888602925161713,0.900521083528484,0.902169520828862,0.892326078648525,0.90042078715146,0.894001837819815,0.913187949953431,0.886608330391202,0.908333345339417,0.921937607527491
"val6",0.903443761546117,0.896446182840912,0.906316811778546,0.896256901477475,0.900938691553155,0.896498389822383,0.89255059380279,0.884990331477459,0.89269638389804,0.889649565428474,0.497089167182697,0.502922769361039,0.479479848041212,0.507872585360037,0.517088687981909,0.500480944448399,0.490170787405595,0.507272154601158,0.502344739647484,0.488749000459115,0.901316099367772,0.90912132127083,0.897536240493776,0.898461092253678,0.889541963932763,0.926520683232052,0.892897936778275,0.886719201565134,0.90334254393468,0.912761419490611
"val7",0.887760707704181,0.890105152186931,0.881269654911032,0.896098616504088,0.887773443624505,0.912264598005682,0.903218734087628,0.892331010746697,0.901377019341184,0.919931988844568,0.513703830716035,0.501814039859389,0.500672633532518,0.499895602428538,0.480195139090275,0.501308555601257,0.502542977836901,0.487832202209611,0.49656210395729,0.510596154323637,0.893021684521855,0.90655879955458,0.904520229959516,0.910241005337016,0.908953375569377,0.881776826349032,0.894515109373266,0.901740328793825,0.914484818417948,0.896722156643231
