"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30","species31","species32","species33","species34","species35","species36","species37","species38","species39","species40","species41","species42","species43","species44","species45","species46","species47","species48","species49","species50","species51","species52","species53","species54","species55","species56","species57","species58","species59","species60","species61","species62","species63","species64","species65","species66","species67","species68","species69","species70","species71","species72","species73","species74","species75","species76","species77","species78","species79","species80","species81","species82","species83","species84","species85","species86","species87","species88","species89","species90"
"alp11",137.022807300246,136.955997284897,138.988261254889,134.749431744577,136.113674976595,138.820539189034,138.785981821744,138.008999512994,139.792485748049,136.896528459625,135.799282403716,135.40805431672,136.863045240046,138.960563619801,136.705722614203,137.629376848062,135.355289805723,136.801983136555,137.398700470106,136.597584290997,137.943477144937,136.088403664629,137.977109756028,137.385265652687,138.790865226303,138.360016706803,138.597169983254,136.143471240123,138.73817311402,137.169666442096,135.255214942079,133.426728307996,136.113583915292,136.016731104082,135.650127086009,136.019943290602,134.128502736938,133.915381047273,136.259643201838,133.354036164722,136.169517711547,134.665926775307,135.459814401524,134.489293857731,134.338410866161,135.562904816292,134.060966722323,136.284748022707,133.809057277487,135.784689560749,134.181464260292,136.324274266027,134.094236785912,136.006461840674,133.761133492026,134.412224566259,134.188947258806,134.180779267306,134.473320655802,135.301863072195,135.818496490536,136.427298988097,134.913328742137,133.29624078186,136.010501274489,135.308061080929,134.844341989839,136.730408638615,135.831425088603,134.844002419324,135.517427246879,136.281326316306,135.346169631121,134.8906023315,138.440966465099,134.02166911228,133.898730382109,135.357294867476,137.274504317621,134.953950542874,134.973129334502,135.130419578103,134.204568651132,134.710745653823,134.703584032533,136.032340620851,133.210823332448,135.58320863317,136.431450902813,133.832185153012
"alp12",136.50161355514,136.399216333666,136.985675979587,137.45472628275,137.835385369106,136.81827364077,136.494538415652,138.283961565644,136.35179412196,137.977132352043,136.080066047914,136.597646329284,137.201600794795,137.049379208721,138.137604904719,137.259805645844,138.084415148363,136.585099767126,139.047647911635,136.560251396461,136.946459294586,136.657053274846,137.485635377867,137.965862489795,139.24497302219,138.223125321153,136.736463784507,137.186915005906,137.507514872971,138.141254043982,135.091022875701,133.573359243326,133.834570492019,136.30142175133,135.879380498076,134.189020127694,136.503584897124,134.020004009698,135.466669238926,135.527103676803,133.234392816363,134.061923865876,134.350828235027,133.489186471674,135.390605634478,136.140409480244,135.008305902744,134.553097019531,136.019141080185,134.88649216684,136.129189945268,135.863879052034,133.32612318735,134.556476523406,135.997238496063,135.044146068056,136.130080509375,135.146491832739,133.583979128774,133.350263551081,133.821203955928,135.202584507033,136.021308762851,133.169891254409,133.664462640904,134.803775236355,133.012926348361,134.092074317079,136.248286037879,134.617543840846,134.335468842423,135.169430990833,136.000102513574,135.418126299726,134.158764742935,135.895710577733,135.474440247963,136.963116089526,133.882419840388,134.968634140464,133.356874690116,135.683757815631,134.738089258892,135.80685661823,133.434472139583,133.75239391549,134.016248799008,133.7083028899,134.642185820936,134.485332620996
"alp13",136.723746105362,136.917542124707,138.003672117437,137.753571039176,139.11491728794,139.091932972927,137.791606930748,137.686348182348,138.394127856322,137.950304104254,136.6892241585,137.546343357853,137.065265503877,136.463827835429,135.492643545068,138.762204140576,137.541403885286,136.520263344218,137.685859063611,137.459304911172,137.08551840462,137.181278659805,138.672759969902,138.091363901405,137.079889390844,138.760559665263,136.836755300476,138.308031067388,137.928370593802,138.430695044024,133.91408287534,136.330685587433,134.034768750092,133.50825168161,133.19940295042,133.822785415991,134.109192811801,134.927189258238,135.621327369268,136.909389152443,134.868636310871,136.044167344935,136.488660995781,134.780005042334,134.219836726708,133.455241275576,134.550510010756,136.408584828619,136.458246689124,134.575228124059,134.401354474248,133.170671144599,134.694306839888,135.08150055422,135.605325234887,137.331393314721,134.735773138276,133.559144534771,135.185979568961,134.64492719778,135.595550262297,133.915522546386,134.799834584185,135.789568482571,133.92856506559,135.681586675813,133.848090379967,135.136666015418,135.287090055529,133.129149046799,133.156871319985,135.490220656104,136.009117633931,133.874765521585,136.048556623376,135.217391142805,134.983061722142,134.556582049445,135.023578298425,135.873484703458,137.243522040489,134.924108019173,134.767273385788,135.920854140337,134.508764581683,137.046353539437,134.639205366044,133.852459726408,134.165283229045,136.416910818685
"alp14",137.564458817276,139.30760279664,138.258260261193,136.219561127847,136.224801769017,137.555395508973,136.079395712902,137.251249403234,138.625086414092,136.002792892471,135.232968403802,136.733649247745,138.89911718201,137.92732188923,139.525593817686,139.645386010794,137.113070255798,137.55105813171,138.682687472115,136.468249472979,136.991374836133,136.7983198569,136.842306482465,138.06742782877,139.508326727393,137.194795915186,137.356210956392,136.401164353786,138.257971017659,137.37705927186,134.62557894868,134.826053498895,134.48098737238,134.536535417599,134.907911268419,133.527142574705,135.469873651749,135.764226918847,135.384907637219,134.636061768877,134.22315479745,134.637869325231,136.048301706451,135.423053040622,134.754764727679,135.491931238369,132.767867416797,136.104539238637,134.997660498327,133.059748063409,136.596156094403,135.354190347158,135.657698816341,133.43179638311,135.151508582534,135.986484263651,134.100955316535,135.227350991504,134.132361829713,135.787883429888,133.56710776572,134.21836174496,134.452453673996,135.158674857931,135.386259881421,135.387165974432,134.186285458067,136.375480259588,135.9174633298,137.534823058028,136.994904996224,136.595521036267,133.698475028561,135.694011106539,134.927604327912,134.769434265527,134.712346796025,136.626726672431,135.107454307727,134.257589606961,133.703937743384,135.099314914992,135.142323138301,134.778495695096,136.624704953681,134.041290031824,135.28338368241,134.926481797357,135.052379004967,135.98594633478
"alp15",138.459494058971,136.561023932735,138.0759139618,138.271006039783,137.129191632156,137.082144118552,136.660699943629,138.713745737911,136.394262319593,138.868138157068,136.028372648865,138.200008960405,137.746741999812,136.963588872922,139.167409948521,135.661898142453,137.135677241444,136.582660294836,139.1528339223,137.239820265585,138.421050955218,137.561721704981,137.58631600862,137.597031586816,138.660392416302,137.278004513817,134.760701624708,136.507741928919,138.691444350103,139.16844304662,132.113461742854,134.62880366471,135.151960583423,134.18958554467,135.037074145254,134.998892742683,133.763637576304,135.950315494039,135.745403490919,135.39560047,136.172337644058,135.178386538534,134.131929415267,134.65208664917,134.62078520553,135.933644039232,135.783536934058,135.073941887347,134.737694472298,135.710991168649,135.32898415064,134.799937335112,133.846280703117,134.170517078911,133.553364256192,135.487735772709,134.505198911197,135.111453517791,135.559220550856,135.938690913105,135.51357900611,136.59734265314,135.310014131221,134.048843524823,135.420082414225,136.188631476034,135.197762707912,134.092169214973,133.531657051313,134.373341572772,135.555293244597,134.699527134874,135.499941306309,136.086480883876,134.446490300412,135.578298099411,135.392870551853,134.549441380542,134.900372879862,134.217563893806,134.396913108382,136.297428178991,135.417781949953,134.987348449091,134.816340573074,135.219955579777,133.953195179546,133.830264148617,133.916169820439,137.153537173654
"alp16",137.389714505609,136.322651675594,138.1308700806,138.095299222661,138.01325030592,136.698666496378,136.255084642241,138.200051432704,137.093303284785,136.274459503085,138.071646691149,137.396821569954,135.272888973345,135.21602328788,135.635269930434,136.357531152403,137.200919859634,137.104492138849,136.833920902906,138.462640075344,138.015583485487,135.953199403932,137.817427487571,136.686859263254,136.676113512503,137.805872003832,137.069607723014,138.894129335897,138.999864765359,137.820973582314,135.282262460729,135.607061857102,136.250928838147,135.532440761181,135.018784043574,134.452444126657,133.326740716793,134.448080357805,134.823348967806,133.349392541217,135.851531663089,135.617409780911,136.275438983619,134.570348694318,135.464419164525,134.012108716972,134.598964294265,135.807732858613,133.287316809814,134.974444304683,134.73488911342,136.250951301116,133.347689382903,133.952065963067,135.805528001139,133.817908122774,136.284515317952,136.540070227218,134.020768055395,135.814067797438,133.722657032479,134.498565387694,135.744168070996,133.713175625823,135.654205539001,135.198083733185,136.030711132778,134.50134908686,134.885789591657,134.76772184021,135.897989627191,135.852706544302,134.258192170867,135.533238878266,134.60440191696,133.677177449574,135.278514928494,135.402571061785,135.425187724108,135.417722805995,135.08414126768,134.042285651029,135.171339967557,136.399906174985,134.335567921151,135.381713001742,136.882846314911,133.61394146336,135.550225623068,134.993520738573
"alp17",136.988990494193,135.770438102606,137.025764456767,136.910539201224,137.23612871375,137.861478491914,139.351258428394,137.091322879509,137.00973141566,137.887545707589,135.616050916959,137.040535872069,136.423883281221,138.910011695722,136.841608631823,136.71700866125,136.747301772968,138.918889194464,137.028071804183,137.451261426652,137.628202184879,136.950728321942,136.109188951543,137.07463706332,137.681790470011,138.269858909936,135.902840451271,135.004699909743,137.026553121535,138.877650826362,133.814855367068,134.413031844354,135.902958625356,134.91309047519,135.146076496948,135.492816783474,135.584808915531,135.02703029034,135.297601963415,136.176063416626,135.586545013294,136.204386005473,135.380303137168,134.467111480048,134.320207881409,134.892277420152,134.720364586917,133.263338274656,134.798047639995,134.211649145773,134.932562871676,135.688543517982,136.076254707511,133.795768599555,134.681495685551,135.415898432506,134.987922136718,136.02152882689,135.010571205092,136.166580753263,135.127999391481,135.270054538942,136.709456835144,134.800050877711,135.780681715785,134.54346789674,134.889767870129,134.480451448553,134.494909883865,134.159365806249,134.797890754808,134.007427931662,134.120464723792,134.47530713578,135.244113782141,134.789370333503,135.035463887202,133.974392207184,135.642730523319,135.939353711055,135.181147565353,135.937762905968,134.002608900926,133.760126968978,136.473172393611,134.774843805268,134.192938993741,134.506228232442,136.256033879828,135.821290022241
"alp18",136.58880458337,137.298660775918,137.45825897095,136.066255588384,137.819184120641,136.108410991883,137.974873093245,137.955462349001,137.574558986619,135.913833680045,138.745610597976,138.67066660619,137.177016956472,139.324295688755,138.550549271714,136.83980052186,139.336412338685,138.171369682987,137.807060320583,137.247377946982,135.419984136666,137.210873196434,136.885445837647,137.124245362161,139.199914281235,137.99169919186,139.401573322795,137.528936689684,134.930162159656,137.057835114324,135.380053428495,135.018379361895,135.557768803991,134.307995230073,134.956741651098,134.406583612172,134.618696969007,135.991062752226,133.21082478066,135.588868513763,133.681026042297,133.441711289481,133.783378638678,135.976634823089,134.854267691082,135.103147963508,134.005859538193,134.71344956447,135.799463475327,135.004833723129,134.032270643621,133.946183921993,135.929839228494,135.22231306028,135.096397240797,135.310794021422,135.087856781736,134.985915094929,133.746965679541,134.69180295404,136.143142421559,134.153677443103,134.847937620022,137.432095934017,134.637906934176,134.90320009016,135.143549104527,135.129882863244,133.670008113969,132.934296523151,135.236588714734,135.279996496407,134.699019675211,135.756463080147,136.722941717604,136.055425860673,134.427159000407,135.882981234377,135.058412487178,134.676505639466,136.120964069752,136.555585519743,136.75415431239,134.84515690343,136.883101515943,136.17490778736,135.044184889777,135.220273202688,134.799769832985,136.142707273625
"alp19",136.662828319731,138.018323851361,135.174660811334,137.036786271252,136.438957024525,135.81040493953,136.15927300114,137.205430800659,137.489810017347,137.719439044029,136.99522783302,137.130549023693,137.660438352824,137.680357861184,137.609011201814,137.998562900808,136.664963920935,138.153554831626,137.518307160226,136.339535527252,135.257985841825,136.952915760267,138.110056559163,136.933103283615,136.262068775467,136.203945504911,137.911955156307,137.483161228779,137.581351830543,136.412561437683,132.767599161957,134.389100909964,135.430192419327,133.143527863219,135.399503524341,135.073552921423,133.140523488918,134.862000924082,134.144833649535,135.557494379529,135.303487065085,136.197243183157,135.009049551515,135.831820932058,134.533250068176,135.064542349908,134.5892970897,136.533976967066,134.424220582683,134.559592365985,134.977282340893,134.695433307801,136.167029779678,135.667855849513,135.434879148461,134.890003137942,134.517668816817,132.621902089784,135.946582885778,134.800917074175,134.95297600589,133.747727266758,135.901823129918,136.823555411441,136.438023367886,135.685040854824,132.370837836837,134.918471821263,135.465721782637,133.69843040052,133.152795184825,134.557736923554,135.233729013055,135.472197550297,134.562406190093,135.064196901968,135.153287928815,135.692836857123,136.429338880506,135.38920616093,136.031227874773,134.670489002981,134.935792634759,136.61550103012,134.522286471315,134.956493807454,134.844890415288,137.691153697474,134.772501664794,136.177588310068
"alp20",139.915835178489,136.463128270366,136.914842450066,137.641803663987,135.489411214387,138.107876842716,134.804071320773,137.6352573659,137.45577634515,137.242504667128,135.488008958689,137.964426252525,137.73781093046,135.883187133155,137.855513982665,136.672385175441,137.935607719532,136.874315872153,138.778265380976,137.703897567175,138.330457131945,137.847494679004,138.62326454068,137.383439827687,137.709675530649,137.444137901109,136.410139140028,136.377873299142,136.279189601221,137.501814556187,133.912225744864,134.17059200563,136.22322885862,133.438766125926,134.12945291022,135.880206450668,134.558270595346,134.541446204057,135.478557577367,134.157383405818,134.730172700034,134.786908955379,135.985120467371,134.470929883869,133.956886932095,134.660739113118,135.405275698984,134.975882161449,134.525180605631,134.435661849034,135.040642079002,134.735409047248,135.161320685633,132.876693784798,136.014571329602,135.627645315929,133.455318794116,134.682257679213,134.130880341265,136.823525374168,134.896391936891,134.293331605517,134.633690921302,135.739570185427,134.440802213463,134.931870805089,133.454403669122,135.200151186618,135.496929841954,134.908171992786,135.111793382954,136.339820273759,134.929828814985,135.445104875451,136.519460561065,135.685146423983,135.823090758468,135.626263365616,135.316558516236,135.814505758971,136.02884875282,133.589203329596,135.509245126841,135.196631656546,137.660100875089,133.41640934628,134.870689873745,134.93704694755,134.431042087739,134.654607787231
"alp21",137.634088220152,137.517057973889,139.674660916483,138.484960498526,138.627015677541,136.314331334595,137.386074095563,137.397812720326,138.167998920342,137.789738793984,135.810180952298,138.169340220507,139.076543201084,137.709726101788,137.475486821335,137.298932073954,137.867418703028,136.268700653717,137.699832174976,137.040151016234,137.408905998912,139.361237482424,136.070563628292,137.537334591317,137.408515342736,136.155595318094,137.182392228653,137.287866992573,136.530141272056,138.467636138318,136.330224424221,135.282788552649,133.405336566989,135.854073335946,133.630162671169,134.140959936395,135.236529426257,134.148752427919,135.226258641879,133.812009466535,134.309808763177,133.741125116335,134.896529920789,135.758120451149,135.357805556561,134.469160550886,135.458644237116,135.168849423881,135.987464934508,134.930369583074,136.006908284233,135.497546877209,135.22255499945,134.282985417116,137.377927049064,133.521809031658,133.729200361249,134.909631284144,134.569261903869,135.071843756428,134.176963590998,133.282587834223,134.39095894383,134.212258449291,134.153234600728,137.321995504641,135.747647535414,134.966171374158,134.261302482285,134.792823574362,136.4814480994,134.826258106486,134.506493090648,133.916691611846,134.941011775726,134.61410722356,133.223579939501,135.173254588521,135.808437044714,136.257560897793,135.202493722861,136.718032757065,137.579736807782,135.769273853786,134.265202904519,134.228970381051,135.479529553232,136.043326159164,134.380011542951,135.359439648292
