"","alp1","alp2","alp3","alp4","alp5","alp6","alp7","sub1","sub2","sub3","sub4","sub5","sub6","sub7","val1","val2","val3","val4","val5","val6","val7"
"sub4",0.423076923076923,0.461538461538462,0.5,0.379310344827586,0.379310344827586,0.481481481481481,0.433333333333333,0.56,0.555555555555556,0.56,1,0.625,0.48,0.555555555555556,0.5,0.5,0.4,0.433333333333333,0.5,0.5,0.5
"sub5",0.52,0.5,0.592592592592593,0.464285714285714,0.464285714285714,0.576923076923077,0.571428571428571,0.666666666666667,0.653846153846154,0.6,0.625,1,0.583333333333333,0.72,0.533333333333333,0.533333333333333,0.433333333333333,0.466666666666667,0.533333333333333,0.533333333333333,0.533333333333333
"sub6",0.44,0.321428571428571,0.413793103448276,0.5,0.344827586206897,0.444444444444444,0.5,0.583333333333333,0.64,0.652173913043478,0.48,0.583333333333333,1,0.576923076923077,0.466666666666667,0.466666666666667,0.366666666666667,0.4,0.466666666666667,0.466666666666667,0.466666666666667
"sub7",0.413793103448276,0.448275862068966,0.642857142857143,0.517241379310345,0.517241379310345,0.517241379310345,0.620689655172414,0.653846153846154,0.642857142857143,0.653846153846154,0.555555555555556,0.72,0.576923076923077,1,0.633333333333333,0.633333333333333,0.533333333333333,0.566666666666667,0.633333333333333,0.633333333333333,0.633333333333333
"val1",0.571428571428571,0.607142857142857,0.689655172413793,0.678571428571429,0.678571428571429,0.620689655172414,0.785714285714286,0.533333333333333,0.633333333333333,0.533333333333333,0.5,0.533333333333333,0.466666666666667,0.633333333333333,1,0.925925925925926,0.814814814814815,0.724137931034483,0.793103448275862,0.857142857142857,0.733333333333333
"val2",0.62962962962963,0.551724137931034,0.75,0.740740740740741,0.678571428571429,0.678571428571429,0.724137931034483,0.533333333333333,0.633333333333333,0.533333333333333,0.5,0.533333333333333,0.466666666666667,0.633333333333333,0.925925925925926,1,0.814814814814815,0.785714285714286,0.857142857142857,0.857142857142857,0.793103448275862
"val3",0.576923076923077,0.615384615384615,0.703703703703704,0.62962962962963,0.62962962962963,0.571428571428571,0.678571428571429,0.433333333333333,0.533333333333333,0.433333333333333,0.4,0.433333333333333,0.366666666666667,0.533333333333333,0.814814814814815,0.814814814814815,1,0.807692307692308,0.814814814814815,0.814814814814815,0.814814814814815
"val4",0.5,0.592592592592593,0.807692307692308,0.607142857142857,0.666666666666667,0.666666666666667,0.714285714285714,0.466666666666667,0.566666666666667,0.466666666666667,0.433333333333333,0.466666666666667,0.4,0.566666666666667,0.724137931034483,0.785714285714286,0.807692307692308,1,0.923076923076923,0.785714285714286,0.851851851851852
"val5",0.517241379310345,0.607142857142857,0.814814814814815,0.678571428571429,0.620689655172414,0.678571428571429,0.724137931034483,0.533333333333333,0.633333333333333,0.533333333333333,0.5,0.533333333333333,0.466666666666667,0.633333333333333,0.793103448275862,0.857142857142857,0.814814814814815,0.923076923076923,1,0.733333333333333,0.925925925925926
"val6",0.62962962962963,0.607142857142857,0.689655172413793,0.678571428571429,0.740740740740741,0.620689655172414,0.785714285714286,0.533333333333333,0.633333333333333,0.533333333333333,0.5,0.533333333333333,0.466666666666667,0.633333333333333,0.857142857142857,0.857142857142857,0.814814814814815,0.785714285714286,0.733333333333333,1,0.733333333333333
"val7",0.571428571428571,0.666666666666667,0.75,0.678571428571429,0.678571428571429,0.678571428571429,0.724137931034483,0.533333333333333,0.633333333333333,0.533333333333333,0.5,0.533333333333333,0.466666666666667,0.633333333333333,0.733333333333333,0.793103448275862,0.814814814814815,0.851851851851852,0.925925925925926,0.733333333333333,1
